variant,cores,map,wall_time
data,12,12m,235.937
data,12,3m,54.358
data,12,8m,193.781
data,24,12m,236.532
data,24,3m,52.947
data,24,8m,190.093
data,2,12m,435.900
data,2,3m,99.336
data,2,8m,356.548
data,48,12m,255.120
data,48,3m,56.564
data,48,8m,206.062
data,4,12m,258.067
data,4,3m,58.978
data,4,8m,209.496
data,8,12m,218.539
data,8,3m,53.150
data,8,8m,189.676
mpi,192,12m,48.473
mpi,192,3m,52.837
mpi,192,8m,34.266
mpi,288,12m,45.505
mpi,288,3m,48.417
mpi,288,8m,344.859
mpi,48,12m,84.216
mpi,48,3m,47.828
mpi,48,8m,71.309
mpi,96,12m,51.682
mpi,96,3m,49.602
mpi,96,8m,46.028
seq,1,12m,712.088
seq,1,3m,148.085
seq,1,8m,532.290
task,12,12m,271.298
task,12,3m,57.778
task,12,8m,212.122
task,24,12m,337.437
task,24,3m,70.976
task,24,8m,259.491
task,2,12m,424.410
task,2,3m,93.125
task,2,8m,404.258
task,48,12m,334.570
task,48,3m,72.209
task,48,8m,278.613
task,4,12m,254.307
task,4,3m,60.183
task,4,8m,257.910
task,8,12m,219.782
task,8,3m,48.981
task,8,8m,219.204
